fsa,prior_complaint_count,complaint_diversity,dominant_type_share,type__Boulevard Plow Damage,type__Catch Basin - Blocked / Flooding,type__Clean up Illegal Dumping on City Road Allowance,type__Driveway Blocked By Plowed Snowbank,type__Icy Sidewalk Needs Salting,type__Illegal Snow Dumping & Failure to Clear Snow or Ice on Public Sidewalk,type__Injured - Wildlife,type__Outcome of Service - Complaint - Road Operations,type__Pick up Dead Wildlife,type__Property Standards and Maintenance Violations,type__Res / Garbage / Not Picked Up,type__Res / Organic Green Bin / Not Picked Up,type__Residential Bin Body or Handle Damaged,type__Residential Bin Lid Damaged,type__Road Plowing Request,type__Road Pothole / Road Damage,type__Sewer Service Line-Blocked,type__Sidewalk Snow Clearing Required,type__Snow Removal - Sightline Problem,type__Traffic Signal Repair,type__other,dept__311,"dept__Environment, Climate & Forestry",dept__Municipal Licensing & Standards,dept__Parks and Recreation,dept__Solid Waste Management Services,"dept__Solid Waste Management Services,Transfer",dept__Toronto Water,dept__Transportation Services,unit__Business Licensing Enforcement,unit__Business Operations Management,unit__Bylaw Enforcement,unit__Collections,unit__Collections and Litter Operations,unit__Disposal & Operations,unit__District Ops,unit__Forestry Operations,unit__Forestry and Natural Environment Management,unit__Investigation Services,unit__Licensing Team,unit__Litter Operations,unit__Operations,unit__Parks,unit__Parks Enforcement,unit__Right of Way (ROW),unit__Road Operations,unit__TMC,unit__Toronto Animal Services,unit__Traffic Management,unit__Traffic Ops,unit__Traffic Safety,unit__Tree Protection and Plan Review,unit__Waste Enforcement,hour__night,hour__morning,hour__afternoon,hour__evening,weekend_share,ward_Beaches-East York (19),ward_Davenport (09),ward_Don Valley East (16),ward_Don Valley North (17),ward_Don Valley West (15),ward_Eglinton-Lawrence (08),ward_Etobicoke Centre (02),ward_Etobicoke North (01),ward_Etobicoke-Lakeshore (03),ward_Humber River-Black Creek (07),ward_Parkdale-High Park (04),ward_Scarborough Centre (21),ward_Scarborough North (23),ward_Scarborough Southwest (20),ward_Scarborough-Agincourt (22),ward_Scarborough-Guildwood (24),ward_Scarborough-Rouge Park (25),ward_Spadina-Fort York (10),ward_Toronto Centre (13),ward_Toronto-Danforth (14),ward_Toronto-St. Paul's (12),ward_University-Rosedale (11),ward_Willowdale (18),ward_York Centre (06),ward_York South-Weston (05),high_workload_area,april_volume
M1B,1993,181,0.14099347717009533,0.017059708981435023,0.009533366783743101,0.004515805318615153,0.14099347717009533,0.007024586051179127,0.007024586051179127,0.03562468640240843,0.02007024586051179,0.019568489713998997,0.019066733567486203,0.029101856497742096,0.04616156547917712,0.010536879076768691,0.04515805318615153,0.06422478675363773,0.050175614651279475,0.006021073758153537,0.008529854490717512,0.0055193176116407425,0.0005017561465127947,0.4535875564475665,0.014049172102358254,0.017059708981435023,0.1354741595584546,0.006522829904666332,0.30155544405418966,0.0,0.06071249372804817,0.46462619167084795,0.002007024586051179,0.0010035122930255895,0.013045659809332665,0.30155544405418966,0.0,0.0,0.05970898143502258,0.01655795283492223,0.0,0.04114400401404917,0.0,0.0,0.014049172102358254,0.006522829904666332,0.0005017561465127947,0.057200200702458605,0.4019066733567486,0.002508780732563974,0.06874059207225289,0.0,0.0030105368790767687,0.0,0.0005017561465127947,0.010035122930255895,0.039136979427997994,0.3261414952333166,0.437531359759157,0.19719016557952834,0.11741093828399397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,572
M1C,1564,161,0.14002557544757033,0.03964194373401535,0.015345268542199489,0.004475703324808184,0.14002557544757033,0.004475703324808184,0.007033248081841432,0.008951406649616368,0.017263427109974423,0.004475703324808184,0.014705882352941176,0.021739130434782608,0.03260869565217391,0.017263427109974423,0.04219948849104859,0.07033248081841433,0.06010230179028133,0.008951406649616368,0.019820971867007674,0.010230179028132993,0.0,0.46035805626598464,0.010230179028132993,0.0370843989769821,0.07800511508951406,0.0012787723785166241,0.28452685421994883,0.0,0.08120204603580562,0.5076726342710998,0.0006393861892583121,0.0006393861892583121,0.00639386189258312,0.28452685421994883,0.0,0.0,0.08120204603580562,0.03388746803069054,0.0,0.03836317135549872,0.0,0.0,0.010230179028132993,0.0012787723785166241,0.0,0.023017902813299233,0.47570332480818417,0.005115089514066497,0.026854219948849106,0.0006393861892583121,0.0025575447570332483,0.0,0.00319693094629156,0.005754475703324808,0.023017902813299233,0.33951406649616367,0.4322250639386189,0.20524296675191817,0.13171355498721227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,596
M1E,1593,194,0.09981167608286252,0.032015065913371,0.008160703075957313,0.008788449466415568,0.09981167608286252,0.004394224733207784,0.003138731952291274,0.0194601381042059,0.011927181418706842,0.011299435028248588,0.03452605147520402,0.02322661644695543,0.025109855618330193,0.016321406151914627,0.062146892655367235,0.04268675455116133,0.04770872567482737,0.016321406151914627,0.026365348399246705,0.0012554927809165098,0.0,0.5053358443188951,0.02448210922787194,0.030131826741996232,0.17011927181418707,0.006905210295040804,0.3220338983050847,0.0,0.07658505963590709,0.3697426239799121,0.003138731952291274,0.0012554927809165098,0.018832391713747645,0.3220338983050847,0.0,0.0,0.07532956685499058,0.02197112366603892,0.0006277463904582549,0.07156308851224105,0.0,0.0,0.02448210922787194,0.006905210295040804,0.0,0.010671688637790333,0.35153797865662273,0.003766478342749529,0.06842435655994979,0.0,0.003766478342749529,0.0,0.007532956685499058,0.008160703075957313,0.03389830508474576,0.3421217827997489,0.4425612052730697,0.18141870684243566,0.1713747645951036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,636
M1G,1019,152,0.11089303238469088,0.042198233562315994,0.018645731108930325,0.004906771344455349,0.11089303238469088,0.005888125613346418,0.001962708537782139,0.020608439646712464,0.014720314033366046,0.004906771344455349,0.0323846908734053,0.022571148184494603,0.021589793915603533,0.015701668302257114,0.04416094210009813,0.053974484789008834,0.040235525024533855,0.018645731108930325,0.02453385672227674,0.0068694798822374874,0.0,0.4946025515210991,0.018645731108930325,0.022571148184494603,0.1844946025515211,0.0009813542688910696,0.27379784102060845,0.0,0.08537782139352307,0.4141315014720314,0.0,0.003925417075564278,0.020608439646712464,0.27379784102060845,0.0,0.0,0.08145240431795878,0.015701668302257114,0.0009813542688910696,0.09224730127576054,0.0,0.0,0.018645731108930325,0.0009813542688910696,0.0,0.010794896957801767,0.39450441609421,0.007850834151128557,0.0549558390578999,0.0,0.0009813542688910696,0.0,0.005888125613346418,0.016683022571148183,0.022571148184494603,0.3209028459273798,0.46123650637880276,0.19528949950932287,0.20608439646712462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,297
M1H,795,146,0.09937106918238994,0.027672955974842768,0.02012578616352201,0.005031446540880503,0.09937106918238994,0.00880503144654088,0.005031446540880503,0.01761006289308176,0.021383647798742137,0.011320754716981131,0.01761006289308176,0.016352201257861635,0.025157232704402517,0.01509433962264151,0.0389937106918239,0.04905660377358491,0.031446540880503145,0.01761006289308176,0.052830188679245285,0.005031446540880503,0.0037735849056603774,0.5106918238993711,0.013836477987421384,0.025157232704402517,0.1069182389937107,0.012578616352201259,0.30566037735849055,0.0,0.11446540880503145,0.42138364779874216,0.0025157232704402514,0.0012578616352201257,0.011320754716981131,0.30566037735849055,0.0,0.0,0.11320754716981132,0.025157232704402517,0.0,0.04150943396226415,0.0,0.0,0.013836477987421384,0.012578616352201259,0.0,0.01761006289308176,0.39119496855345914,0.007547169811320755,0.04025157232704402,0.0012578616352201257,0.0037735849056603774,0.0,0.0,0.011320754716981131,0.03270440251572327,0.3182389937106918,0.45157232704402517,0.19748427672955976,0.19874213836477989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,245
M1J,1004,149,0.10059760956175298,0.013944223107569721,0.00796812749003984,0.00398406374501992,0.08764940239043825,0.008964143426294821,0.0069721115537848604,0.0199203187250996,0.0099601593625498,0.014940239043824702,0.10059760956175298,0.017928286852589643,0.0199203187250996,0.00099601593625498,0.03286852589641434,0.049800796812749,0.04880478087649402,0.017928286852589643,0.03187250996015936,0.00298804780876494,0.0,0.50199203187251,0.012948207171314742,0.0199203187250996,0.25,0.0,0.27091633466135456,0.0,0.08964143426294821,0.3565737051792829,0.00199203187250996,0.00199203187250996,0.0199203187250996,0.27091633466135456,0.0,0.0,0.08764940239043825,0.01693227091633466,0.00099601593625498,0.15338645418326693,0.0,0.0,0.012948207171314742,0.0,0.00099601593625498,0.022908366533864542,0.3207171314741036,0.0069721115537848604,0.060756972111553786,0.0,0.00597609561752988,0.0,0.00199203187250996,0.012948207171314742,0.04183266932270916,0.3157370517928287,0.43824701195219123,0.20418326693227093,0.20418326693227093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,341
M1K,1640,191,0.09390243902439024,0.01768292682926829,0.014634146341463415,0.006707317073170732,0.09390243902439024,0.004878048780487805,0.010365853658536586,0.012804878048780487,0.016463414634146342,0.012195121951219513,0.05060975609756098,0.026829268292682926,0.03475609756097561,0.018902439024390243,0.04451219512195122,0.029878048780487804,0.025609756097560974,0.01707317073170732,0.048170731707317074,0.006707317073170732,0.0,0.5073170731707317,0.010365853658536586,0.029878048780487804,0.18963414634146342,0.00853658536585366,0.3280487804878049,0.0,0.0774390243902439,0.35609756097560974,0.003658536585365854,0.001829268292682927,0.022560975609756097,0.3274390243902439,0.0,0.0,0.07621951219512195,0.026829268292682926,0.0,0.10365853658536585,0.0,0.0006097560975609756,0.010365853658536586,0.00853658536585366,0.0012195121951219512,0.028658536585365855,0.32439024390243903,0.0012195121951219512,0.05060975609756098,0.0,0.0012195121951219512,0.0,0.003048780487804878,0.007926829268292683,0.03231707317073171,0.3463414634146341,0.44695121951219513,0.174390243902439,0.1676829268292683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,478
M1L,1600,197,0.084375,0.025625,0.0075,0.00625,0.084375,0.00625,0.008125,0.00875,0.01625,0.008125,0.02375,0.03,0.045,0.011875,0.038125,0.069375,0.028125,0.02125,0.050625,0.01125,0.0,0.499375,0.005625,0.020625,0.144375,0.01125,0.298125,0.0,0.085,0.435,0.005625,0.0025,0.014375,0.2975,0.0,0.0,0.0825,0.01875,0.000625,0.064375,0.0,0.000625,0.005625,0.01125,0.00125,0.04125,0.379375,0.005,0.043125,0.0,0.009375,0.0,0.00125,0.015625,0.02625,0.345625,0.451875,0.17625,0.15875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,442
M1M,1109,172,0.11181244364292155,0.024346257889990983,0.014427412082957619,0.0018034265103697023,0.11181244364292155,0.007213706041478809,0.002705139765554554,0.029756537421100092,0.020739404869251576,0.014427412082957619,0.0387736699729486,0.016230838593327322,0.008115419296663661,0.010820559062218215,0.047790802524797116,0.04238052299368801,0.027051397655545536,0.016230838593327322,0.03606853020739405,0.0036068530207394047,0.0009017132551848512,0.5247971145175834,0.018935978358881875,0.034265103697024346,0.2110009017132552,0.0036068530207394047,0.25067628494138866,0.0,0.08926961226330027,0.39224526600541026,0.0009017132551848512,0.0009017132551848512,0.013525698827772768,0.25067628494138866,0.0,0.0,0.08926961226330027,0.023444544634806132,0.0,0.09918845807033363,0.0,0.0,0.018935978358881875,0.0036068530207394047,0.0036068530207394047,0.016230838593327322,0.36158701532912535,0.008115419296663661,0.0775473399458972,0.0,0.005410279531109108,0.0,0.010820559062218215,0.016230838593327322,0.024346257889990983,0.3552750225428314,0.46798917944093776,0.15238954012623984,0.16321009918845808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,406
M1N,1621,207,0.09567901234567901,0.017901234567901235,0.012345679012345678,0.004320987654320987,0.09567901234567901,0.004320987654320987,0.0049382716049382715,0.007407407407407408,0.016049382716049384,0.008024691358024692,0.025308641975308643,0.037654320987654324,0.019135802469135803,0.012345679012345678,0.024074074074074074,0.06975308641975309,0.05123456790123457,0.025308641975308643,0.044444444444444446,0.008024691358024692,0.0,0.5117283950617284,0.005552128315854411,0.03392967304133251,0.121529919802591,0.011721159777914868,0.27267119062307216,0.0,0.08760024676125848,0.46699568167797656,0.0006169031462060457,0.0030845157310302285,0.008019740900678593,0.27082048118445406,0.001850709438618137,0.0,0.08451573103022826,0.027143738433066007,0.0006169031462060457,0.06662553979025293,0.0,0.0,0.005552128315854411,0.011721159777914868,0.0012338062924120913,0.06045650832819247,0.391733497840839,0.008019740900678593,0.03639728562615669,0.0,0.006785934608266502,0.0,0.006169031462060457,0.00863664404688464,0.020357803824799507,0.3738433066008637,0.43985194324491056,0.16594694632942628,0.14003701418877237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,440
M1P,1425,176,0.10245614035087719,0.025964912280701753,0.009122807017543859,0.004912280701754386,0.10245614035087719,0.008421052631578947,0.0014035087719298245,0.02526315789473684,0.011228070175438596,0.016842105263157894,0.03859649122807018,0.01263157894736842,0.029473684210526315,0.01263157894736842,0.0343859649122807,0.05473684210526316,0.06807017543859649,0.028070175438596492,0.06315789473684211,0.010526315789473684,0.0014035087719298245,0.44070175438596493,0.008421052631578947,0.02456140350877193,0.18035087719298246,0.00631578947368421,0.25263157894736843,0.0,0.08210526315789474,0.4456140350877193,0.004912280701754386,0.0014035087719298245,0.02666666666666667,0.2519298245614035,0.0007017543859649122,0.0,0.08070175438596491,0.023157894736842106,0.0,0.07719298245614035,0.0,0.0,0.008421052631578947,0.00631578947368421,0.0007017543859649122,0.011228070175438596,0.42596491228070177,0.00631578947368421,0.062456140350877196,0.0,0.002105263157894737,0.0,0.0014035087719298245,0.008421052631578947,0.030877192982456142,0.3333333333333333,0.4512280701754386,0.18456140350877193,0.1712280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,411
M1R,1172,179,0.11604095563139932,0.015358361774744027,0.02303754266211604,0.004266211604095563,0.11604095563139932,0.004266211604095563,0.010238907849829351,0.014505119453924915,0.008532423208191127,0.013651877133105802,0.027303754266211604,0.01962457337883959,0.04436860068259386,0.01877133105802048,0.0537542662116041,0.05631399317406143,0.029863481228668942,0.02901023890784983,0.034129692832764506,0.007679180887372013,0.0,0.46928327645051193,0.006825938566552901,0.012798634812286689,0.1493174061433447,0.0017064846416382253,0.30204778156996587,0.0,0.11006825938566553,0.41723549488054607,0.0017064846416382253,0.0,0.020477815699658702,0.30119453924914674,0.0,0.0,0.11006825938566553,0.00938566552901024,0.0008532423208191126,0.0674061433447099,0.0,0.0008532423208191126,0.006825938566552901,0.0017064846416382253,0.0008532423208191126,0.030716723549488054,0.37372013651877134,0.005972696245733789,0.051194539249146756,0.0,0.006825938566552901,0.0,0.002559726962457338,0.007679180887372013,0.028156996587030716,0.3216723549488055,0.4658703071672355,0.18430034129692832,0.1493174061433447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,415
